fold,variant,channel,input_median,input_iqr,nominal_error_median,nominal_error_p95,nominal_error_p99,reference_points,reference_dominant,false_alarm_peaks_dominated,event_alarm_peaks_dominated
2004,baseline,channel_40,0.794350266456604,0.12503671646118164,0.003499936778098345,0.012079677730798715,0.021815728172659893,128,0,0,0
2004,baseline,channel_41,0.8117930293083191,0.008632898330688477,0.016896530985832214,0.073302761465311,0.2722618345916274,128,2,2,1
2004,baseline,channel_42,0.784737765789032,0.011245191097259521,0.05014237016439438,0.07492159567773342,0.22487220525741594,128,27,1,0
2004,baseline,channel_43,0.7726908326148987,0.008704721927642822,0.016390614211559296,0.08959324210882183,0.24284047365188616,128,2,2,2
2004,baseline,channel_44,0.7976043820381165,0.009445786476135254,0.048357006162405014,0.11036534123122665,0.25447403714060796,128,18,2,1
2004,baseline,channel_45,0.8134627938270569,0.009327054023742676,0.01798250526189804,0.07486227005720132,0.21520276203751598,128,2,1,2
2004,baseline,channel_46,0.7686724066734314,0.010977506637573242,0.05484513193368912,0.0791874401271343,0.2193519815802579,128,77,1,0
2004,baseline,channel_47,0.0017784649971872568,7.338577415794134e-05,0.006006062962114811,0.018499419838190076,0.02426616806536913,128,0,0,0
2004,expanded,channel_40,0.794350266456604,0.12503671646118164,0.0026137568056583405,0.010623848251998413,0.014763163262978196,128,0,0,0
2004,expanded,channel_41,0.8117930293083191,0.008632898330688477,0.018763117492198944,0.08989514634013171,0.6238674688339239,128,2,9,1
2004,expanded,channel_42,0.784737765789032,0.011245191097259521,0.054635368287563324,0.17525798678398105,0.6688871389627462,128,26,6,4
2004,expanded,channel_43,0.7726908326148987,0.008704721927642822,0.01838582381606102,0.11761841736733901,0.5574546563625343,128,2,7,2
2004,expanded,channel_44,0.7976043820381165,0.009445786476135254,0.05410853773355484,0.15081888586282724,0.593260770440102,128,17,2,5
2004,expanded,channel_45,0.8134627938270569,0.009327054023742676,0.0200488343834877,0.11903159022331167,0.5303755581378945,128,1,3,0
2004,expanded,channel_46,0.7686724066734314,0.010977506637573242,0.06160622090101242,0.14170462489128105,0.48057360142469463,128,73,6,1
2004,expanded,channel_47,0.0017784649971872568,7.338577415794134e-05,0.005332281347364187,0.014117614552378654,0.0237752006389201,128,0,0,0
2004,expanded,channel_14,0.2428947538137436,0.07241560518741608,0.002917646896094084,0.06527844332158565,0.13675438940525061,128,0,0,0
2004,expanded,channel_21,0.24741612374782562,0.07543657720088959,0.003161967732012272,0.07868249304592607,0.15063079565763482,128,7,0,0
2004,expanded,channel_29,0.26702880859375,0.06939467787742615,0.003234095638617873,0.04597295615822075,0.07855649456381805,128,0,0,0
2005,baseline,channel_40,0.7649300694465637,0.11032664775848389,0.01013859361410141,0.06832734905183305,0.119957726970315,128,0,0,0
2005,baseline,channel_41,0.8117930293083191,0.008632898330688477,0.035711050033569336,0.11378052495419967,0.24707453727722184,128,1,0,1
2005,baseline,channel_42,0.784737765789032,0.012048304080963135,0.061357755213975906,0.12297130078077308,0.2004339125752449,128,1,0,0
2005,baseline,channel_43,0.7726908326148987,0.007912635803222656,0.03413324058055878,0.10980933494865885,0.25955118834972385,128,1,0,0
2005,baseline,channel_44,0.7976043820381165,0.009445786476135254,0.06941261887550354,0.12981159314513205,0.2628574715554715,128,28,0,0
2005,baseline,channel_45,0.8134627938270569,0.009327054023742676,0.03268538787961006,0.12335953041911109,0.33360059931874325,128,2,0,3
2005,baseline,channel_46,0.7686724066734314,0.010977506637573242,0.07879140228033066,0.1741223849356172,0.25875708803534514,128,93,0,0
2005,baseline,channel_47,0.0017708699451759458,5.3135561756789684e-05,0.015857476741075516,0.07913703732192513,0.1366747719794513,128,2,0,0
2005,expanded,channel_40,0.7649300694465637,0.11032664775848389,0.0454496294260025,0.15344076827168465,0.16192385613918306,128,0,0,1
2005,expanded,channel_41,0.8117930293083191,0.008632898330688477,0.059061579406261444,0.5681825965642915,1.0138640415668494,128,1,0,0
2005,expanded,channel_42,0.784737765789032,0.012048304080963135,0.086212158203125,0.5182478293776508,0.885087473392487,128,0,0,0
2005,expanded,channel_43,0.7726908326148987,0.007912635803222656,0.06512609124183655,0.5950473755598065,2.3677603554725666,128,8,0,4
2005,expanded,channel_44,0.7976043820381165,0.009445786476135254,0.09994122385978699,0.5659148126840585,1.0944243341684348,128,17,0,0
2005,expanded,channel_45,0.8134627938270569,0.009327054023742676,0.06672760844230652,0.5705856740474696,1.0419690716266634,128,4,0,0
2005,expanded,channel_46,0.7686724066734314,0.010977506637573242,0.11078222841024399,0.8295098632574078,1.2199695324897768,128,71,0,0
2005,expanded,channel_47,0.0017708699451759458,5.3135561756789684e-05,0.022762680426239967,0.19331791177392,0.23919633120298392,128,14,0,0
2005,expanded,channel_14,0.229310542345047,0.08146505057811737,0.03342680633068085,0.171003795415163,0.3396717855334284,128,9,8,0
2005,expanded,channel_21,0.23685956001281738,0.07995794713497162,0.03199346363544464,0.18629352599382398,0.3310421502590182,128,3,27,24
2005,expanded,channel_29,0.24892324209213257,0.07995793223381042,0.045183584094047546,0.18454427421092987,0.28957764178514495,128,1,0,0
